metric,pearson_r,pearson_p,spearman_r,spearman_p,n,pearson_p_fdr,significant_fdr
cv_region_count,0.1436,0.0425,0.1686,0.017,200,0.3825,False
cv_negative_space_ratio,0.0691,0.3307,0.0977,0.1689,200,0.7293,False
cv_rule_of_thirds_offset,-0.0664,0.3502,-0.1286,0.0696,200,0.7293,False
cv_largest_region_area_ratio,-0.0597,0.4014,-0.0761,0.2844,200,0.7293,False
cv_subject_centroid_x,-0.0577,0.4172,-0.0894,0.2082,200,0.7293,False
cv_symmetry_score,-0.0495,0.4862,-0.0526,0.4597,200,0.7293,False
cv_edge_density,-0.0078,0.913,-0.0277,0.6967,200,0.9839,False
cv_subject_centroid_y,-0.0046,0.9481,-0.0669,0.3464,200,0.9839,False
cv_symmetry_score_fuzzy_global,0.0014,0.9839,-0.0082,0.9082,200,0.9839,False
