metric,pearson_r,pearson_p,spearman_r,spearman_p,n,pearson_p_fdr,significant_fdr
cv_symmetry_score_fuzzy_global,-0.1517,0.032,-0.2638,0.0002,200,0.2799,False
cv_region_count,0.1321,0.0622,0.2889,0.0,200,0.2799,False
cv_edge_density,0.1048,0.1399,0.181,0.0103,200,0.4197,False
cv_symmetry_score,-0.0853,0.2299,-0.1976,0.005,200,0.4257,False
cv_subject_centroid_x,-0.0841,0.2365,-0.0235,0.7413,200,0.4257,False
cv_negative_space_ratio,-0.0592,0.4048,-0.1608,0.0229,200,0.6072,False
cv_rule_of_thirds_offset,0.0403,0.5711,0.0119,0.8674,200,0.7343,False
cv_largest_region_area_ratio,0.0245,0.7311,0.0719,0.3114,200,0.7576,False
cv_subject_centroid_y,0.022,0.7576,0.0461,0.5165,200,0.7576,False
