metric,pearson_r,pearson_p,spearman_r,spearman_p,n,pearson_p_fdr,significant_fdr
cv_symmetry_score_fuzzy_global,0.2135,0.0024,0.2219,0.0016,200,0.0216,True
cv_negative_space_ratio,0.1942,0.0058,0.2746,0.0001,200,0.0261,True
cv_largest_region_area_ratio,-0.1765,0.0124,-0.2351,0.0008,200,0.0371,True
cv_edge_density,-0.1693,0.0165,-0.1487,0.0357,200,0.0371,True
cv_subject_centroid_y,0.1307,0.065,0.1942,0.0059,200,0.117,False
cv_subject_centroid_x,-0.1086,0.1259,-0.1244,0.0792,200,0.1889,False
cv_rule_of_thirds_offset,-0.0957,0.1778,-0.1541,0.0293,200,0.2286,False
cv_symmetry_score,0.0823,0.2467,0.1412,0.046,200,0.2775,False
cv_region_count,-0.0716,0.3139,-0.052,0.4642,200,0.3139,False
