metric,pearson_r,pearson_p,spearman_r,spearman_p,n,pearson_p_fdr,significant_fdr
cv_edge_density,-0.3231,0.0,-0.4022,0.0,200,0.0,True
cv_subject_centroid_x,-0.1378,0.0516,-0.1457,0.0396,200,0.2322,False
cv_negative_space_ratio,0.0758,0.2862,0.1274,0.0723,200,0.683,False
cv_rule_of_thirds_offset,-0.0695,0.3279,-0.0825,0.2452,200,0.683,False
cv_region_count,-0.0578,0.4166,-0.0598,0.4004,200,0.683,False
cv_largest_region_area_ratio,-0.0486,0.4942,-0.0737,0.2998,200,0.683,False
cv_subject_centroid_y,0.0445,0.5312,0.0301,0.6721,200,0.683,False
cv_symmetry_score,-0.0196,0.783,-0.0214,0.764,200,0.8038,False
cv_symmetry_score_fuzzy_global,0.0177,0.8038,0.0514,0.47,200,0.8038,False
