metric,pearson_r,pearson_p,spearman_r,spearman_p,n,pearson_p_fdr,significant_fdr
cv_symmetry_score_fuzzy_global,-0.2327,0.0009,-0.3322,0.0,200,0.0081,True
cv_symmetry_score,-0.2163,0.0021,-0.2764,0.0001,200,0.0094,True
cv_edge_density,-0.168,0.0174,-0.1524,0.0312,200,0.0522,False
cv_largest_region_area_ratio,-0.083,0.2424,-0.0532,0.4543,200,0.4606,False
cv_rule_of_thirds_offset,-0.0807,0.2559,-0.1346,0.0575,200,0.4606,False
cv_negative_space_ratio,0.0666,0.3488,0.0819,0.2487,200,0.4923,False
cv_subject_centroid_x,0.062,0.3829,0.0453,0.5237,200,0.4923,False
cv_subject_centroid_y,0.0404,0.5701,0.0334,0.6388,200,0.6414,False
cv_region_count,0.0066,0.9265,0.0568,0.424,200,0.9265,False
